31	21	0.018100	2040737759.000000	1111001101000110010111111011111
31	21	0.029990	2006604223.000000	1110111100110100101100110111111
31	21	0.051129	1736308359.000000	1100111011111011111011010000111
31	21	0.051832	2112836375.000000	1111101111011110101001100010111
31	21	0.052808	1402199423.000000	1010011100100111101110101111111
31	21	0.054622	1584772911.000000	1011110011101011011011100101111
31	21	0.058332	1519484415.000000	1011010100100010111110111111111
31	21	0.060495	1525215135.000000	1011010111010001110111110011111
31	21	0.074610	1857092535.000000	1101110101100001111101110110111
31	21	0.078696	2094423279.000000	1111100110101100101110011101111
31	21	0.087967	2111003535.000000	1111101110100110101101110001111
